District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
New York 13,Adriano Espaillat,Democratic,271,https://en.wikipedia.org/wiki/New_York%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Adriano_Espaillat,Nay,,1,Nay,1,,,2
New York 14,Alexandria Ocasio-Cortez,Democratic,272,https://en.wikipedia.org/wiki/New_York%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Alexandria_Ocasio-Cortez,Nay,,1,Nay,1,,,2
New York 15,Ritchie Torres,Democratic,273,https://en.wikipedia.org/wiki/New_York%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Ritchie_Torres,Yea,,-1,Nay,1,,,0
New York 16,George Latimer,Democratic,274,https://en.wikipedia.org/wiki/New_York%27s_16th_congressional_district,https://en.wikipedia.org/wiki/George_Latimer_(New_York_politician),Nay,,1,Nay,1,,,2
New York 17,Mike Lawler,Republican,275,https://en.wikipedia.org/wiki/New_York%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Mike_Lawler,Yea,,-1,Yea,-1,,,-2
New York 18,Pat Ryan,Democratic,276,https://en.wikipedia.org/wiki/New_York%27s_18th_congressional_district,https://en.wikipedia.org/wiki/Pat_Ryan_(politician),Nay,,1,Nay,1,,,2
New York 19,Josh Riley,Democratic,277,https://en.wikipedia.org/wiki/New_York%27s_19th_congressional_district,https://en.wikipedia.org/wiki/Josh_Riley,Not Voting,,0,Nay,1,,,1
New York 20,Paul Tonko,Democratic,278,https://en.wikipedia.org/wiki/New_York%27s_20th_congressional_district,https://en.wikipedia.org/wiki/Paul_Tonko,Nay,,1,Nay,1,,,2
New York 21,Elise Stefanik,Republican,279,https://en.wikipedia.org/wiki/New_York%27s_21st_congressional_district,https://en.wikipedia.org/wiki/Elise_Stefanik,Yea,,-1,Yea,-1,,,-2
New York 22,John Mannion,Democratic,280,https://en.wikipedia.org/wiki/New_York%27s_22nd_congressional_district,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),Yea,,-1,Nay,1,,,0
New York 23,Nick Langworthy,Republican,281,https://en.wikipedia.org/wiki/New_York%27s_23rd_congressional_district,https://en.wikipedia.org/wiki/Nick_Langworthy,Yea,,-1,Yea,-1,,,-2
New York 24,Claudia Tenney,Republican,282,https://en.wikipedia.org/wiki/New_York%27s_24th_congressional_district,https://en.wikipedia.org/wiki/Claudia_Tenney,Yea,,-1,Yea,-1,,,-2
New York 25,Joseph Morelle,Democratic,283,https://en.wikipedia.org/wiki/New_York%27s_25th_congressional_district,https://en.wikipedia.org/wiki/Joseph_Morelle,Yea,,-1,Nay,1,,,0
New York 26,Tim Kennedy,Democratic,284,https://en.wikipedia.org/wiki/New_York%27s_26th_congressional_district,https://en.wikipedia.org/wiki/Tim_Kennedy_(politician),Nay,,1,Nay,1,,,2
North Carolina 1,Don Davis,Democratic,285,https://en.wikipedia.org/wiki/North_Carolina%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Don_Davis_(North_Carolina_politician),Yea,,-1,Nay,1,,,0
North Carolina 2,Deborah Ross,Democratic,286,https://en.wikipedia.org/wiki/North_Carolina%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Deborah_K._Ross,Nay,,1,Nay,1,,,2
North Carolina 3,Greg Murphy,Republican,287,https://en.wikipedia.org/wiki/North_Carolina%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Greg_Murphy_(politician),Yea,,-1,Yea,-1,,,-2
North Carolina 4,Valerie Foushee,Democratic,288,https://en.wikipedia.org/wiki/North_Carolina%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Valerie_Foushee,Nay,,1,Nay,1,,,2
North Carolina 5,Virginia Foxx,Republican,289,https://en.wikipedia.org/wiki/North_Carolina%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Virginia_Foxx,Yea,,-1,Yea,-1,,,-2
North Carolina 6,Addison McDowell,Republican,290,https://en.wikipedia.org/wiki/North_Carolina%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Addison_McDowell,Yea,,-1,Yea,-1,,,-2
North Carolina 7,David Rouzer,Republican,291,https://en.wikipedia.org/wiki/North_Carolina%27s_7th_congressional_district,https://en.wikipedia.org/wiki/David_Rouzer,Yea,,-1,Yea,-1,,,-2
North Carolina 8,Mark Harris,Republican,292,https://en.wikipedia.org/wiki/North_Carolina%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),Yea,,-1,Yea,-1,,,-2
North Carolina 9,Richard Hudson,Republican,293,https://en.wikipedia.org/wiki/North_Carolina%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Richard_Hudson_(American_politician),Yea,,-1,Yea,-1,,,-2
North Carolina 10,Pat Harrigan,Republican,294,https://en.wikipedia.org/wiki/North_Carolina%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Pat_Harrigan,Yea,,-1,Yea,-1,,,-2
North Carolina 11,Chuck Edwards,Republican,295,https://en.wikipedia.org/wiki/North_Carolina%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Chuck_Edwards,Yea,,-1,Yea,-1,,,-2
North Carolina 12,Alma Adams,Democratic,296,https://en.wikipedia.org/wiki/North_Carolina%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Alma_Adams,Nay,,1,Nay,1,,,2
North Carolina 13,Brad Knott,Republican,297,https://en.wikipedia.org/wiki/North_Carolina%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Brad_Knott,Yea,,-1,Yea,-1,,,-2
North Carolina 14,Tim Moore,Republican,298,https://en.wikipedia.org/wiki/North_Carolina%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Tim_Moore_(North_Carolina_politician),Yea,,-1,Not Voting,0,,,-1
North Dakota at-large,Julie Fedorchak,Republican,299,https://en.wikipedia.org/wiki/North_Dakota%27s_at-large_congressional_district,https://en.wikipedia.org/wiki/Julie_Fedorchak,Yea,,-1,Yea,-1,,,-2
Ohio 1,Greg Landsman,Democratic,300,https://en.wikipedia.org/wiki/Ohio%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Greg_Landsman,Yea,,-1,Nay,1,,,0
Ohio 2,David Taylor,Republican,301,https://en.wikipedia.org/wiki/Ohio%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/David_Taylor_(Ohio_politician),Yea,,-1,Yea,-1,,,-2
Ohio 3,Joyce Beatty,Democratic,302,https://en.wikipedia.org/wiki/Ohio%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Joyce_Beatty,Nay,,1,Nay,1,,,2
Ohio 4,Jim Jordan,Republican,303,https://en.wikipedia.org/wiki/Ohio%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Jim_Jordan,Yea,,-1,Yea,-1,,,-2
Ohio 5,Bob Latta,Republican,304,https://en.wikipedia.org/wiki/Ohio%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Bob_Latta,Yea,,-1,Yea,-1,,,-2
Ohio 6,Michael Rulli,Republican,305,https://en.wikipedia.org/wiki/Ohio%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Michael_Rulli,Yea,,-1,Yea,-1,,,-2
Ohio 7,Max Miller,Republican,306,https://en.wikipedia.org/wiki/Ohio%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Max_Miller_(politician),Yea,,-1,Yea,-1,,,-2
Ohio 8,Warren Davidson,Republican,307,https://en.wikipedia.org/wiki/Ohio%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Warren_Davidson,Yea,,-1,Yea,-1,,,-2
Ohio 9,Marcy Kaptur,Democratic,308,https://en.wikipedia.org/wiki/Ohio%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Marcy_Kaptur,Yea,,-1,Nay,1,,,0
Ohio 10,Mike Turner,Republican,309,https://en.wikipedia.org/wiki/Ohio%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Mike_Turner,Yea,,-1,Yea,-1,,,-2
Ohio 11,Shontel Brown,Democratic,310,https://en.wikipedia.org/wiki/Ohio%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Shontel_Brown,Nay,,1,Nay,1,,,2
Ohio 12,Troy Balderson,Republican,311,https://en.wikipedia.org/wiki/Ohio%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Troy_Balderson,Yea,,-1,Yea,-1,,,-2
Ohio 13,Emilia Sykes,Democratic,312,https://en.wikipedia.org/wiki/Ohio%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Emilia_Sykes,Yea,,-1,Nay,1,,,0
Ohio 14,David Joyce,Republican,313,https://en.wikipedia.org/wiki/Ohio%27s_14th_congressional_district,https://en.wikipedia.org/wiki/David_Joyce_(politician),Yea,,-1,Yea,-1,,,-2
Ohio 15,Mike Carey,Republican,314,https://en.wikipedia.org/wiki/Ohio%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Mike_Carey_(politician),Yea,,-1,Yea,-1,,,-2
Oklahoma 1,Kevin Hern,Republican,315,https://en.wikipedia.org/wiki/Oklahoma%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Kevin_Hern,Yea,,-1,Yea,-1,,,-2
Oklahoma 2,Josh Brecheen,Republican,316,https://en.wikipedia.org/wiki/Oklahoma%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Josh_Brecheen,Yea,,-1,Yea,-1,,,-2
Oklahoma 3,Frank Lucas,Republican,317,https://en.wikipedia.org/wiki/Oklahoma%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Frank_Lucas_(Oklahoma_politician),Yea,,-1,Yea,-1,,,-2
Oklahoma 4,Tom Cole,Republican,318,https://en.wikipedia.org/wiki/Oklahoma%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Tom_Cole,Yea,,-1,Yea,-1,,,-2
Oklahoma 5,Stephanie Bice,Republican,319,https://en.wikipedia.org/wiki/Oklahoma%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Stephanie_Bice,Yea,,-1,Yea,-1,,,-2
Oregon 1,Suzanne Bonamici,Democratic,320,https://en.wikipedia.org/wiki/Oregon%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Suzanne_Bonamici,Nay,,1,Nay,1,,,2
Oregon 2,Cliff Bentz,Republican,321,https://en.wikipedia.org/wiki/Oregon%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Cliff_Bentz,Yea,,-1,Yea,-1,,,-2
Oregon 3,Maxine Dexter,Democratic,322,https://en.wikipedia.org/wiki/Oregon%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Maxine_Dexter,Nay,,1,Nay,1,,,2
Oregon 4,Val Hoyle,Democratic,323,https://en.wikipedia.org/wiki/Oregon%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Val_Hoyle,Nay,,1,Nay,1,,,2
Oregon 5,Janelle Bynum,Democratic,324,https://en.wikipedia.org/wiki/Oregon%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Janelle_Bynum,Yea,,-1,Nay,1,,,0
Oregon 6,Andrea Salinas,Democratic,325,https://en.wikipedia.org/wiki/Oregon%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Andrea_Salinas,Nay,,1,Nay,1,,,2
Pennsylvania 1,Brian Fitzpatrick,Republican,326,https://en.wikipedia.org/wiki/Pennsylvania%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),Yea,,-1,Yea,-1,,,-2
Pennsylvania 2,Brendan Boyle,Democratic,327,https://en.wikipedia.org/wiki/Pennsylvania%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Brendan_Boyle,Yea,,-1,Nay,1,,,0
Pennsylvania 3,Dwight Evans,Democratic,328,https://en.wikipedia.org/wiki/Pennsylvania%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Dwight_Evans_(politician),Nay,,1,Nay,1,,,2
Pennsylvania 4,Madeleine Dean,Democratic,329,https://en.wikipedia.org/wiki/Pennsylvania%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Madeleine_Dean,Nay,,1,Nay,1,,,2
Pennsylvania 5,Mary Gay Scanlon,Democratic,330,https://en.wikipedia.org/wiki/Pennsylvania%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,Nay,,1,Nay,1,,,2
Pennsylvania 6,Chrissy Houlahan,Democratic,331,https://en.wikipedia.org/wiki/Pennsylvania%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Chrissy_Houlahan,Nay,,1,Nay,1,,,2
Pennsylvania 7,Ryan Mackenzie,Republican,332,https://en.wikipedia.org/wiki/Pennsylvania%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Ryan_Mackenzie,Yea,,-1,Yea,-1,,,-2
Pennsylvania 8,Rob Bresnahan,Republican,333,https://en.wikipedia.org/wiki/Pennsylvania%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Rob_Bresnahan,Yea,,-1,Yea,-1,,,-2
Pennsylvania 9,Dan Meuser,Republican,334,https://en.wikipedia.org/wiki/Pennsylvania%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Dan_Meuser,Yea,,-1,Yea,-1,,,-2
Pennsylvania 10,Scott Perry,Republican,335,https://en.wikipedia.org/wiki/Pennsylvania%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Scott_Perry_(politician),Yea,,-1,Yea,-1,,,-2
Pennsylvania 11,Lloyd Smucker,Republican,336,https://en.wikipedia.org/wiki/Pennsylvania%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Lloyd_Smucker,Yea,,-1,Yea,-1,,,-2
Pennsylvania 12,Summer Lee,Democratic,337,https://en.wikipedia.org/wiki/Pennsylvania%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Summer_Lee,Nay,,1,Nay,1,,,2
Pennsylvania 13,John Joyce,Republican,338,https://en.wikipedia.org/wiki/Pennsylvania%27s_13th_congressional_district,https://en.wikipedia.org/wiki/John_Joyce_(American_politician),Yea,,-1,Yea,-1,,,-2
Pennsylvania 14,Guy Reschenthaler,Republican,339,https://en.wikipedia.org/wiki/Pennsylvania%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Guy_Reschenthaler,Yea,,-1,Yea,-1,,,-2
Pennsylvania 15,Glenn Thompson,Republican,340,https://en.wikipedia.org/wiki/Pennsylvania%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Glenn_Thompson_(politician),Yea,,-1,Yea,-1,,,-2
Pennsylvania 16,Mike Kelly,Republican,341,https://en.wikipedia.org/wiki/Pennsylvania%27s_16th_congressional_district,https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),Yea,,-1,Yea,-1,,,-2
Pennsylvania 17,Chris Deluzio,Democratic,342,https://en.wikipedia.org/wiki/Pennsylvania%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Chris_Deluzio,Nay,,1,Nay,1,,,2
Rhode Island 1,Gabe Amo,Democratic,343,https://en.wikipedia.org/wiki/Rhode_Island%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Gabe_Amo,Nay,,1,Nay,1,,,2
Rhode Island 2,Seth Magaziner,Democratic,344,https://en.wikipedia.org/wiki/Rhode_Island%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Seth_Magaziner,Nay,,1,Nay,1,,,2
South Carolina 1,Nancy Mace,Republican,345,https://en.wikipedia.org/wiki/South_Carolina%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Nancy_Mace,Yea,,-1,Yea,-1,,,-2
South Carolina 2,Joe Wilson,Republican,346,https://en.wikipedia.org/wiki/South_Carolina%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Joe_Wilson_(American_politician),Yea,,-1,Yea,-1,,,-2
South Carolina 3,Sheri Biggs,Republican,347,https://en.wikipedia.org/wiki/South_Carolina%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Sheri_Biggs,Yea,,-1,Yea,-1,,,-2
South Carolina 4,William Timmons,Republican,348,https://en.wikipedia.org/wiki/South_Carolina%27s_4th_congressional_district,https://en.wikipedia.org/wiki/William_Timmons_(politician),Yea,,-1,Yea,-1,,,-2
South Carolina 5,Ralph Norman,Republican,349,https://en.wikipedia.org/wiki/South_Carolina%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Ralph_Norman,Yea,,-1,Yea,-1,,,-2
South Carolina 6,Jim Clyburn,Democratic,350,https://en.wikipedia.org/wiki/South_Carolina%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Jim_Clyburn,Nay,,1,Nay,1,,,2
South Carolina 7,Russell Fry,Republican,351,https://en.wikipedia.org/wiki/South_Carolina%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Russell_Fry_(politician),Yea,,-1,Yea,-1,,,-2
South Dakota at-large,Dusty Johnson,Republican,352,https://en.wikipedia.org/wiki/South_Dakota%27s_at-large_congressional_district,https://en.wikipedia.org/wiki/Dusty_Johnson,Yea,,-1,Yea,-1,,,-2
Tennessee 1,Diana Harshbarger,Republican,353,https://en.wikipedia.org/wiki/Tennessee%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Diana_Harshbarger,Yea,,-1,Yea,-1,,,-2
Tennessee 2,Tim Burchett,Republican,354,https://en.wikipedia.org/wiki/Tennessee%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Tim_Burchett,Yea,,-1,Yea,-1,,,-2
Tennessee 3,Chuck Fleischmann,Republican,355,https://en.wikipedia.org/wiki/Tennessee%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Chuck_Fleischmann,Yea,,-1,Yea,-1,,,-2
Tennessee 4,Scott DesJarlais,Republican,356,https://en.wikipedia.org/wiki/Tennessee%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Scott_DesJarlais,Yea,,-1,Yea,-1,,,-2
Tennessee 5,Andy Ogles,Republican,357,https://en.wikipedia.org/wiki/Tennessee%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Andy_Ogles,Yea,,-1,Yea,-1,,,-2
Tennessee 6,John Rose,Republican,358,https://en.wikipedia.org/wiki/Tennessee%27s_6th_congressional_district,https://en.wikipedia.org/wiki/John_Rose_(Tennessee_politician),Yea,,-1,Yea,-1,,,-2
Tennessee 7,Mark E. Green,Republican,359,https://en.wikipedia.org/wiki/Tennessee%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Mark_E._Green,Yea,,-1,Yea,-1,,,-2
Tennessee 8,David Kustoff,Republican,360,https://en.wikipedia.org/wiki/Tennessee%27s_8th_congressional_district,https://en.wikipedia.org/wiki/David_Kustoff,Yea,,-1,Yea,-1,,,-2
Tennessee 9,Steve Cohen,Democratic,361,https://en.wikipedia.org/wiki/Tennessee%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),Nay,,1,Nay,1,,,2
Texas 1,Nathaniel Moran,Republican,362,https://en.wikipedia.org/wiki/Texas%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Nathaniel_Moran,Yea,,-1,Yea,-1,,,-2
Texas 2,Dan Crenshaw,Republican,363,https://en.wikipedia.org/wiki/Texas%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Dan_Crenshaw,Yea,,-1,Yea,-1,,,-2
Texas 3,Keith Self,Republican,364,https://en.wikipedia.org/wiki/Texas%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Keith_Self,Yea,,-1,Yea,-1,,,-2
Texas 4,Pat Fallon,Republican,365,https://en.wikipedia.org/wiki/Texas%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Pat_Fallon,Yea,,-1,Yea,-1,,,-2
Texas 5,Lance Gooden,Republican,366,https://en.wikipedia.org/wiki/Texas%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Lance_Gooden,Yea,,-1,Yea,-1,,,-2
Texas 6,Jake Ellzey,Republican,367,https://en.wikipedia.org/wiki/Texas%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Jake_Ellzey,Yea,,-1,Yea,-1,,,-2
Texas 7,Lizzie Fletcher,Democratic,368,https://en.wikipedia.org/wiki/Texas%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Lizzie_Fletcher,Nay,,1,Nay,1,,,2
Texas 8,Morgan Luttrell,Republican,369,https://en.wikipedia.org/wiki/Texas%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Morgan_Luttrell,Yea,,-1,Yea,-1,,,-2
Texas 9,Al Green,Democratic,370,https://en.wikipedia.org/wiki/Texas%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Al_Green_(politician),Nay,,1,Nay,1,,,2
Texas 10,Michael McCaul,Republican,371,https://en.wikipedia.org/wiki/Texas%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Michael_McCaul,Yea,,-1,Yea,-1,,,-2
Texas 11,August Pfluger,Republican,372,https://en.wikipedia.org/wiki/Texas%27s_11th_congressional_district,https://en.wikipedia.org/wiki/August_Pfluger,Yea,,-1,Yea,-1,,,-2
Texas 12,Craig Goldman,Republican,373,https://en.wikipedia.org/wiki/Texas%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Craig_Goldman,Yea,,-1,Yea,-1,,,-2
Texas 13,Ronny Jackson,Republican,374,https://en.wikipedia.org/wiki/Texas%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Ronny_Jackson,Yea,,-1,Yea,-1,,,-2
Texas 14,Randy Weber,Republican,375,https://en.wikipedia.org/wiki/Texas%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Randy_Weber,Yea,,-1,Yea,-1,,,-2
Texas 15,Monica De La Cruz,Republican,376,https://en.wikipedia.org/wiki/Texas%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Monica_De_La_Cruz,Yea,,-1,Yea,-1,,,-2
Texas 16,Veronica Escobar,Democratic,377,https://en.wikipedia.org/wiki/Texas%27s_16th_congressional_district,https://en.wikipedia.org/wiki/Veronica_Escobar,Nay,,1,Nay,1,,,2
Texas 17,Pete Sessions,Republican,378,https://en.wikipedia.org/wiki/Texas%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Pete_Sessions,Yea,,-1,Yea,-1,,,-2
Texas 18,Vacant,Vacant,379,https://en.wikipedia.org/wiki/Texas%27s_18th_congressional_district,,,,0,Nay,1,,,1
Texas 19,Jodey Arrington,Republican,380,https://en.wikipedia.org/wiki/Texas%27s_19th_congressional_district,https://en.wikipedia.org/wiki/Jodey_Arrington,Yea,,-1,Yea,-1,,,-2
Texas 20,Joaquin Castro,Democratic,381,https://en.wikipedia.org/wiki/Texas%27s_20th_congressional_district,https://en.wikipedia.org/wiki/Joaquin_Castro,Nay,,1,Nay,1,,,2
Texas 21,Chip Roy,Republican,382,https://en.wikipedia.org/wiki/Texas%27s_21st_congressional_district,https://en.wikipedia.org/wiki/Chip_Roy,Yea,,-1,Yea,-1,,,-2
Texas 22,Troy Nehls,Republican,383,https://en.wikipedia.org/wiki/Texas%27s_22nd_congressional_district,https://en.wikipedia.org/wiki/Troy_Nehls,Yea,,-1,Yea,-1,,,-2
Texas 23,Tony Gonzales,Republican,384,https://en.wikipedia.org/wiki/Texas%27s_23rd_congressional_district,https://en.wikipedia.org/wiki/Tony_Gonzales,Yea,,-1,Yea,-1,,,-2
Texas 24,Beth Van Duyne,Republican,385,https://en.wikipedia.org/wiki/Texas%27s_24th_congressional_district,https://en.wikipedia.org/wiki/Beth_Van_Duyne,Yea,,-1,Yea,-1,,,-2
Texas 25,Roger Williams,Republican,386,https://en.wikipedia.org/wiki/Texas%27s_25th_congressional_district,https://en.wikipedia.org/wiki/Roger_Williams_(Texas_politician),Not Voting,,0,Yea,-1,,,-1
Texas 26,Brandon Gill,Republican,387,https://en.wikipedia.org/wiki/Texas%27s_26th_congressional_district,https://en.wikipedia.org/wiki/Brandon_Gill,Yea,,-1,Yea,-1,,,-2
Texas 27,Michael Cloud,Republican,388,https://en.wikipedia.org/wiki/Texas%27s_27th_congressional_district,https://en.wikipedia.org/wiki/Michael_Cloud,Yea,,-1,Yea,-1,,,-2
Texas 28,Henry Cuellar,Democratic,389,https://en.wikipedia.org/wiki/Texas%27s_28th_congressional_district,https://en.wikipedia.org/wiki/Henry_Cuellar,Yea,,-1,Nay,1,,,0
Texas 29,Sylvia Garcia,Democratic,390,https://en.wikipedia.org/wiki/Texas%27s_29th_congressional_district,https://en.wikipedia.org/wiki/Sylvia_Garcia,Nay,,1,Nay,1,,,2
Texas 30,Jasmine Crockett,Democratic,391,https://en.wikipedia.org/wiki/Texas%27s_30th_congressional_district,https://en.wikipedia.org/wiki/Jasmine_Crockett,Nay,,1,Nay,1,,,2
Texas 31,John Carter,Republican,392,https://en.wikipedia.org/wiki/Texas%27s_31st_congressional_district,https://en.wikipedia.org/wiki/John_Carter_(Texas_politician),Yea,,-1,Yea,-1,,,-2
Texas 32,Julie Johnson,Democratic,393,https://en.wikipedia.org/wiki/Texas%27s_32nd_congressional_district,https://en.wikipedia.org/wiki/Julie_Johnson_(politician),Nay,,1,Nay,1,,,2
Texas 33,Marc Veasey,Democratic,394,https://en.wikipedia.org/wiki/Texas%27s_33rd_congressional_district,https://en.wikipedia.org/wiki/Marc_Veasey,Nay,,1,Nay,1,,,2
Texas 34,Vicente Gonzalez,Democratic,395,https://en.wikipedia.org/wiki/Texas%27s_34th_congressional_district,https://en.wikipedia.org/wiki/Vicente_Gonzalez_(politician),Yea,,-1,Nay,1,,,0
Texas 35,Greg Casar,Democratic,396,https://en.wikipedia.org/wiki/Texas%27s_35th_congressional_district,https://en.wikipedia.org/wiki/Greg_Casar,Nay,,1,Nay,1,,,2
Texas 36,Brian Babin,Republican,397,https://en.wikipedia.org/wiki/Texas%27s_36th_congressional_district,https://en.wikipedia.org/wiki/Brian_Babin,Yea,,-1,Yea,-1,,,-2
Texas 37,Lloyd Doggett,Democratic,398,https://en.wikipedia.org/wiki/Texas%27s_37th_congressional_district,https://en.wikipedia.org/wiki/Lloyd_Doggett,Nay,,1,Nay,1,,,2
Texas 38,Wesley Hunt,Republican,399,https://en.wikipedia.org/wiki/Texas%27s_38th_congressional_district,https://en.wikipedia.org/wiki/Wesley_Hunt,Yea,,-1,Yea,-1,,,-2
Utah 1,Blake Moore,Republican,400,https://en.wikipedia.org/wiki/Utah%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Blake_Moore,Yea,,-1,Yea,-1,,,-2
Utah 2,Celeste Maloy,Republican,401,https://en.wikipedia.org/wiki/Utah%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Celeste_Maloy,Yea,,-1,Yea,-1,,,-2
Utah 3,Mike Kennedy,Republican,402,https://en.wikipedia.org/wiki/Utah%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Mike_Kennedy_(politician),Yea,,-1,Yea,-1,,,-2
Utah 4,Burgess Owens,Republican,403,https://en.wikipedia.org/wiki/Utah%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Burgess_Owens,Yea,,-1,Yea,-1,,,-2
Vermont at-large,Becca Balint,Democratic,404,https://en.wikipedia.org/wiki/Vermont%27s_at-large_congressional_district,https://en.wikipedia.org/wiki/Becca_Balint,Nay,,1,Nay,1,,,2
Virginia 1,Rob Wittman,Republican,405,https://en.wikipedia.org/wiki/Virginia%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Rob_Wittman,Yea,,-1,Yea,-1,,,-2
Virginia 2,Jen Kiggans,Republican,406,https://en.wikipedia.org/wiki/Virginia%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Jen_Kiggans,Yea,,-1,Yea,-1,,,-2
Virginia 3,Bobby Scott,Democratic,407,https://en.wikipedia.org/wiki/Virginia%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Bobby_Scott_(politician),Nay,,1,Nay,1,,,2
