District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
California 21,Jim Costa,Democratic,43,https://en.wikipedia.org/wiki/California%27s_21st_congressional_district,https://en.wikipedia.org/wiki/Jim_Costa,Yea,,-1,Nay,1,,,0
California 22,David Valadao,Republican,44,https://en.wikipedia.org/wiki/California%27s_22nd_congressional_district,https://en.wikipedia.org/wiki/David_Valadao,Yea,,-1,Yea,-1,,,-2
California 23,Jay Obernolte,Republican,45,https://en.wikipedia.org/wiki/California%27s_23rd_congressional_district,https://en.wikipedia.org/wiki/Jay_Obernolte,Yea,,-1,Yea,-1,,,-2
California 24,Salud Carbajal,Democratic,46,https://en.wikipedia.org/wiki/California%27s_24th_congressional_district,https://en.wikipedia.org/wiki/Salud_Carbajal,Nay,,1,Nay,1,,,2
California 25,Raul Ruiz,Democratic,47,https://en.wikipedia.org/wiki/California%27s_25th_congressional_district,https://en.wikipedia.org/wiki/Raul_Ruiz_(politician),Nay,,1,Nay,1,,,2
California 26,Julia Brownley,Democratic,48,https://en.wikipedia.org/wiki/California%27s_26th_congressional_district,https://en.wikipedia.org/wiki/Julia_Brownley,Nay,,1,Nay,1,,,2
California 27,George Whitesides,Democratic,49,https://en.wikipedia.org/wiki/California%27s_27th_congressional_district,https://en.wikipedia.org/wiki/George_T._Whitesides,Not Voting,,0,Nay,1,,,1
California 28,Judy Chu,Democratic,50,https://en.wikipedia.org/wiki/California%27s_28th_congressional_district,https://en.wikipedia.org/wiki/Judy_Chu,Nay,,1,Nay,1,,,2
California 29,Luz Rivas,Democratic,51,https://en.wikipedia.org/wiki/California%27s_29th_congressional_district,https://en.wikipedia.org/wiki/Luz_Rivas,Nay,,1,Nay,1,,,2
California 30,Laura Friedman,Democratic,52,https://en.wikipedia.org/wiki/California%27s_30th_congressional_district,https://en.wikipedia.org/wiki/Laura_Friedman,Nay,,1,Nay,1,,,2
California 31,Gil Cisneros,Democratic,53,https://en.wikipedia.org/wiki/California%27s_31st_congressional_district,https://en.wikipedia.org/wiki/Gil_Cisneros,Nay,,1,Nay,1,,,2
California 32,Brad Sherman,Democratic,54,https://en.wikipedia.org/wiki/California%27s_32nd_congressional_district,https://en.wikipedia.org/wiki/Brad_Sherman,Nay,,1,Nay,1,,,2
California 33,Pete Aguilar,Democratic,55,https://en.wikipedia.org/wiki/California%27s_33rd_congressional_district,https://en.wikipedia.org/wiki/Pete_Aguilar,Nay,,1,Nay,1,,,2
California 34,Jimmy Gomez,Democratic,56,https://en.wikipedia.org/wiki/California%27s_34th_congressional_district,https://en.wikipedia.org/wiki/Jimmy_Gomez,Nay,,1,Nay,1,,,2
California 35,Norma Torres,Democratic,57,https://en.wikipedia.org/wiki/California%27s_35th_congressional_district,https://en.wikipedia.org/wiki/Norma_Torres,Nay,,1,Nay,1,,,2
California 36,Ted Lieu,Democratic,58,https://en.wikipedia.org/wiki/California%27s_36th_congressional_district,https://en.wikipedia.org/wiki/Ted_Lieu,Nay,,1,Nay,1,,,2
California 37,Sydney Kamlager-Dove,Democratic,59,https://en.wikipedia.org/wiki/California%27s_37th_congressional_district,https://en.wikipedia.org/wiki/Sydney_Kamlager-Dove,Nay,,1,Nay,1,,,2
California 38,Linda Sánchez,Democratic,60,https://en.wikipedia.org/wiki/California%27s_38th_congressional_district,https://en.wikipedia.org/wiki/Linda_S%C3%A1nchez,Nay,,1,Nay,1,,,2
California 39,Mark Takano,Democratic,61,https://en.wikipedia.org/wiki/California%27s_39th_congressional_district,https://en.wikipedia.org/wiki/Mark_Takano,Nay,,1,Nay,1,,,2
California 40,Young Kim,Republican,62,https://en.wikipedia.org/wiki/California%27s_40th_congressional_district,https://en.wikipedia.org/wiki/Young_Kim,Yea,,-1,Yea,-1,,,-2
California 41,Ken Calvert,Republican,63,https://en.wikipedia.org/wiki/California%27s_41st_congressional_district,https://en.wikipedia.org/wiki/Ken_Calvert,Yea,,-1,Yea,-1,,,-2
California 42,Robert Garcia,Democratic,64,https://en.wikipedia.org/wiki/California%27s_42nd_congressional_district,https://en.wikipedia.org/wiki/Robert_Garcia_(California_politician),Nay,,1,Nay,1,,,2
California 43,Maxine Waters,Democratic,65,https://en.wikipedia.org/wiki/California%27s_43rd_congressional_district,https://en.wikipedia.org/wiki/Maxine_Waters,Not Voting,,0,Nay,1,,,1
California 44,Nanette Barragán,Democratic,66,https://en.wikipedia.org/wiki/California%27s_44th_congressional_district,https://en.wikipedia.org/wiki/Nanette_Barrag%C3%A1n,Nay,,1,Nay,1,,,2
California 45,Derek Tran,Democratic,67,https://en.wikipedia.org/wiki/California%27s_45th_congressional_district,https://en.wikipedia.org/wiki/Derek_Tran,Yea,,-1,Nay,1,,,0
California 46,Lou Correa,Democratic,68,https://en.wikipedia.org/wiki/California%27s_46th_congressional_district,https://en.wikipedia.org/wiki/Lou_Correa,Not Voting,,0,Nay,1,,,1
California 47,Dave Min,Democratic,69,https://en.wikipedia.org/wiki/California%27s_47th_congressional_district,https://en.wikipedia.org/wiki/Dave_Min,Yea,,-1,Nay,1,,,0
California 48,Darrell Issa,Republican,70,https://en.wikipedia.org/wiki/California%27s_48th_congressional_district,https://en.wikipedia.org/wiki/Darrell_Issa,Yea,,-1,Yea,-1,,,-2
California 49,Mike Levin,Democratic,71,https://en.wikipedia.org/wiki/California%27s_49th_congressional_district,https://en.wikipedia.org/wiki/Mike_Levin,Yea,,-1,Nay,1,,,0
California 50,Scott Peters,Democratic,72,https://en.wikipedia.org/wiki/California%27s_50th_congressional_district,https://en.wikipedia.org/wiki/Scott_Peters_(politician),Nay,,1,Nay,1,,,2
California 51,Sara Jacobs,Democratic,73,https://en.wikipedia.org/wiki/California%27s_51st_congressional_district,https://en.wikipedia.org/wiki/Sara_Jacobs,Nay,,1,Nay,1,,,2
California 52,Juan Vargas,Democratic,74,https://en.wikipedia.org/wiki/California%27s_52nd_congressional_district,https://en.wikipedia.org/wiki/Juan_Vargas,Nay,,1,Nay,1,,,2
Colorado 1,Diana DeGette,Democratic,75,https://en.wikipedia.org/wiki/Colorado%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Diana_DeGette,Nay,,1,Nay,1,,,2
Colorado 2,Joe Neguse,Democratic,76,https://en.wikipedia.org/wiki/Colorado%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Joe_Neguse,Nay,,1,Nay,1,,,2
Colorado 3,Jeff Hurd,Republican,77,https://en.wikipedia.org/wiki/Colorado%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Jeff_Hurd_(politician),Yea,,-1,Yea,-1,,,-2
Colorado 4,Lauren Boebert,Republican,78,https://en.wikipedia.org/wiki/Colorado%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Lauren_Boebert,Yea,,-1,Yea,-1,,,-2
Colorado 5,Jeff Crank,Republican,79,https://en.wikipedia.org/wiki/Colorado%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Jeff_Crank,Yea,,-1,Yea,-1,,,-2
Colorado 6,Jason Crow,Democratic,80,https://en.wikipedia.org/wiki/Colorado%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Jason_Crow,Nay,,1,Nay,1,,,2
Colorado 7,Brittany Pettersen,Democratic,81,https://en.wikipedia.org/wiki/Colorado%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Brittany_Pettersen,Not Voting,,0,Nay,1,,,1
Colorado 8,Gabe Evans,Republican,82,https://en.wikipedia.org/wiki/Colorado%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Gabe_Evans,Yea,,-1,Yea,-1,,,-2
Connecticut 1,John B. Larson,Democratic,83,https://en.wikipedia.org/wiki/Connecticut%27s_1st_congressional_district,https://en.wikipedia.org/wiki/John_B._Larson,Nay,,1,Nay,1,,,2
